Iteration	Posterior	Likelihood	Prior	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	rate_log_sd	tree_length	two_beta
0	-4339.588	-4621.916	282.3276	0.2233	0.478577	0.120808	0.177315	6.440249	0.840083	12.22198	3.265048
6	-4339.385	-4621.66	282.2749	0.115701	0.506984	0.0633093	0.314006	8.229444	0.9611054	11.68789	3.931308
12	-4334.897	-4614.479	279.5814	0.130324	0.474635	0.0984011	0.296639	1.948388	0.8024012	14.01009	7.023863
18	-4312.353	-4592.442	280.0889	0.224399	0.309879	0.237112	0.228611	2.509772	0.8178262	13.70768	6.085069
24	-4312.197	-4596.906	284.7091	0.0606939	0.404243	0.477792	0.0572706	1.752748	0.9231161	13.00225	1.175783
30	-4306.806	-4591.315	284.509	0.0986477	0.483222	0.381624	0.0365063	0.8809039	0.8031238	13.70856	0.9286967
36	-4307.673	-4593.051	285.3773	0.033811	0.394022	0.55547	0.0166973	0.957772	0.7255717	13.30898	0.832
42	-4301.205	-4586.765	285.5599	0.00834522	0.481229	0.495531	0.0148955	0.9385606	0.7774665	13.19729	0.832
48	-4309.676	-4594.904	285.2275	0.00887609	0.511841	0.456563	0.0227191	1.461719	0.7297304	12.95843	1.178658
54	-4314.404	-4596.994	282.5899	0.00902979	0.520705	0.430945	0.0393207	0.9178077	0.7481428	14.58457	1.178658
60	-4307.506	-4593.911	286.4045	0.0160871	0.423714	0.51938	0.0408191	0.9178077	0.7865229	12.74401	0.869617
66	-4317.11	-4596.345	279.2345	0.0174974	0.454489	0.483201	0.0448123	2.691985	0.6947396	15.61315	1.169331
72	-4318.572	-4604.699	286.1268	0.0507215	0.454515	0.452773	0.0419904	1.372475	0.7474969	12.86111	0.5416815
78	-4322.532	-4605.591	283.0591	0.0507215	0.454515	0.452773	0.0419904	0.9661076	0.7619392	14.49377	0.8215799
84	-4311.469	-4599.7	288.2313	0.0214536	0.475472	0.47365	0.0294249	0.9661076	0.7925431	11.81772	0.7692669
90	-4320.326	-4605.924	285.5978	0.0183656	0.455462	0.519644	0.00652824	1.036775	0.8172612	13.02548	0.9826238
96	-4316.028	-4604.906	288.8782	0.0229326	0.516148	0.432707	0.0282122	0.924136	0.6945599	11.51162	0.8453859
102	-4320.142	-4605.754	285.6128	0.0180916	0.498095	0.358833	0.12498	0.877153	0.5841759	12.70652	2.1466
108	-4324.566	-4608.892	284.3254	0.0272642	0.516133	0.258843	0.19776	1.410142	0.7983029	12.70652	3.002189
114	-4336.925	-4619.217	282.2916	0.148648	0.40339	0.131889	0.316072	3.617422	0.7463159	11.79576	8.74465
120	-4315.262	-4600.306	285.0437	0.154955	0.420503	0.0950608	0.329481	1.571278	0.7834952	11.96074	4.08612
126	-4315.167	-4595.539	280.3721	0.140302	0.395075	0.166299	0.298324	2.016316	0.6968279	13.64959	6.904065
132	-4320.148	-4603.754	283.6059	0.124463	0.502798	0.231829	0.140909	2.016316	0.7558363	13.1548	2.103981
138	-4327.187	-4611.156	283.9684	0.0134426	0.502285	0.319557	0.164715	1.388694	0.7661968	13.35563	1.779792
144	-4309.543	-4591.759	282.2162	0.0516206	0.575221	0.113654	0.259504	1.75017	0.8877215	12.99104	5.416265
150	-4319.122	-4602.105	282.9829	0.0500591	0.6412	0.208389	0.100352	1.292726	0.7711401	13.52468	2.840452
156	-4320.353	-4603.177	282.8237	0.0378335	0.57361	0.220287	0.16827	1.662031	0.7068924	13.54926	2.611862
162	-4336.975	-4618.228	281.2527	0.0779837	0.489368	0.245284	0.187364	4.628223	0.722669	13.20956	3.320837
168	-4342.096	-4623.52	281.4237	0.121153	0.537053	0.136173	0.205621	2.157674	0.7299737	13.49753	4.641689
174	-4356.529	-4642.335	285.8058	0.0912559	0.487851	0.266013	0.15488	2.372495	0.7928042	11.11579	4.583352
180	-4328.991	-4613.412	284.4213	0.230978	0.529881	0.020582	0.218558	1.9052	0.9202742	11.91268	4.741384
186	-4346.255	-4628.398	282.1429	0.266677	0.229209	0.0612839	0.44283	6.822855	1.045634	11.56544	5.582155
